STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SEX,Sex,AGE,Age,TIME_HORIZ,Time horizon,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,BEL,Belgium,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,H,Historical,1995,,6703820,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,BEL,Belgium,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,H,Historical,1996,,6703184,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,BEL,Belgium,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,H,Historical,1997,,6706151,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,BEL,Belgium,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,H,Historical,1998,,6708710,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,BEL,Belgium,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,H,Historical,1999,,6715128,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,BEL,Belgium,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,H,Historical,2000,,6723896,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,BEL,Belgium,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,H,Historical,2001,,6743337,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,BEL,Belgium,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,H,Historical,2002,,6774422,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,BEL,Belgium,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,H,Historical,2003,,6804809,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,BEL,Belgium,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,H,Historical,2004,,6835178,,A,Normal value,0,Units,0,Zero
