STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SEX,Sex,AGE,Age,TIME_HORIZ,Time horizon,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,DEU,Germany,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2022,,53536495,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,DEU,Germany,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2023,,53924049,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,DEU,Germany,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2024,,53867891,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,DEU,Germany,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2025,,53635664,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,DEU,Germany,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2026,,53325143,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,DEU,Germany,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2027,,52943626,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,DEU,Germany,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2028,,52527950,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,DEU,Germany,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2029,,52115476,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,DEU,Germany,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2030,,51738891,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,CAN,Canada,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2022,,25486400,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,CAN,Canada,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2023,,25754800,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,CAN,Canada,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2024,,26002900,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,CAN,Canada,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2025,,26225900,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,CAN,Canada,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2026,,26427800,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,CAN,Canada,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2027,,26628700,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,CAN,Canada,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2028,,26811100,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,CAN,Canada,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2029,,26989900,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,CAN,Canada,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2030,,27176200,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,ARG,Argentina,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2022,,29562285,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,ARG,Argentina,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2023,,29833999,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,ARG,Argentina,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2024,,30106723,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,ARG,Argentina,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2025,,30380574,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,ARG,Argentina,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2026,,30647032,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,ARG,Argentina,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2027,,30914051,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,ARG,Argentina,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2028,,31181649,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,ARG,Argentina,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2029,,31449580,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,ARG,Argentina,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2030,,31716625,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,ESP,Spain,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2022,,31189921.130627,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,ESP,Spain,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2023,,31385494.679519,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,ESP,Spain,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2024,,31573354.250136,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,ESP,Spain,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2025,,31727218.808354,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,ESP,Spain,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2026,,31871776.138135,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,ESP,Spain,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2027,,31982858.341293,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,ESP,Spain,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2028,,32053060.276208,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,ESP,Spain,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2029,,32094835.995172,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,ESP,Spain,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2030,,32104561.662429,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,FRA,France,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2022,,41833106,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),Population projections,I,FRA,France,POP,Population,PS,Persons,_T,Total,Y15T64,From 15 to 64 years,P,Projection,2023,,41932110,,A,Normal value,0,Units,0,Zero
