Continent,Region/Country,Product,Variable,Year,Unit,Quantity
America,Antigua and Barbuda,Dried Grapes,Consumption,1995,tonnes,0
America,Antigua and Barbuda,Table Grapes,Consumption,1995,tonnes,  12
America,Antigua and Barbuda,Dried Grapes,Exports,1995,tonnes,  2
America,Antigua and Barbuda,Dried Grapes,Imports,1995,tonnes,0
America,Antigua and Barbuda,Fresh Grapes,Imports,1995,tonnes,  12
America,Antigua and Barbuda,Dried Grapes,Consumption,1996,tonnes,0
America,Antigua and Barbuda,Table Grapes,Consumption,1996,tonnes,  2
America,Antigua and Barbuda,Dried Grapes,Exports,1996,tonnes,  3
America,Antigua and Barbuda,Dried Grapes,Imports,1996,tonnes,0
America,Antigua and Barbuda,Fresh Grapes,Imports,1996,tonnes,  2
America,Antigua and Barbuda,Dried Grapes,Consumption,1997,tonnes,0
America,Antigua and Barbuda,Table Grapes,Consumption,1997,tonnes,  3
America,Antigua and Barbuda,Dried Grapes,Exports,1997,tonnes,  3
America,Antigua and Barbuda,Dried Grapes,Imports,1997,tonnes,0
America,Antigua and Barbuda,Fresh Grapes,Imports,1997,tonnes,  3
America,Antigua and Barbuda,Dried Grapes,Consumption,1998,tonnes,0
America,Antigua and Barbuda,Table Grapes,Consumption,1998,tonnes,0
America,Antigua and Barbuda,Dried Grapes,Exports,1998,tonnes,0
America,Antigua and Barbuda,Dried Grapes,Imports,1998,tonnes,0
America,Antigua and Barbuda,Fresh Grapes,Imports,1998,tonnes,0
America,Antigua and Barbuda,Dried Grapes,Consumption,1999,tonnes,0
America,Antigua and Barbuda,Table Grapes,Consumption,1999,tonnes,0
America,Antigua and Barbuda,Dried Grapes,Exports,1999,tonnes,0
America,Antigua and Barbuda,Dried Grapes,Imports,1999,tonnes,0
America,Antigua and Barbuda,Fresh Grapes,Imports,1999,tonnes,0
America,Antigua and Barbuda,Dried Grapes,Consumption,2000,tonnes,0
America,Antigua and Barbuda,Table Grapes,Consumption,2000,tonnes,0
America,Antigua and Barbuda,Dried Grapes,Exports,2000,tonnes,0
America,Antigua and Barbuda,Dried Grapes,Imports,2000,tonnes,0
America,Antigua and Barbuda,Fresh Grapes,Imports,2000,tonnes,0
America,Antigua and Barbuda,Dried Grapes,Consumption,2001,tonnes,0
America,Antigua and Barbuda,Table Grapes,Consumption,2001,tonnes,0
America,Antigua and Barbuda,Dried Grapes,Exports,2001,tonnes,0
America,Antigua and Barbuda,Dried Grapes,Imports,2001,tonnes,0
America,Antigua and Barbuda,Fresh Grapes,Imports,2001,tonnes,0
America,Antigua and Barbuda,Dried Grapes,Consumption,2002,tonnes,0
America,Antigua and Barbuda,Table Grapes,Consumption,2002,tonnes,0
America,Antigua and Barbuda,Dried Grapes,Exports,2002,tonnes,0
America,Antigua and Barbuda,Dried Grapes,Imports,2002,tonnes,0
America,Antigua and Barbuda,Fresh Grapes,Imports,2002,tonnes,0
America,Antigua and Barbuda,Dried Grapes,Consumption,2003,tonnes,0
America,Antigua and Barbuda,Table Grapes,Consumption,2003,tonnes,  2
America,Antigua and Barbuda,Dried Grapes,Exports,2003,tonnes,0
America,Antigua and Barbuda,Dried Grapes,Imports,2003,tonnes,0
America,Antigua and Barbuda,Fresh Grapes,Imports,2003,tonnes,  2
