Continent,Region/Country,Product,Variable,Year,Unit,Quantity
Europe,Albania,Dried Grapes,Consumption,1995,tonnes,  60
Europe,Albania,Table Grapes,Consumption,1995,tonnes, 38 006
Europe,Albania,Dried Grapes,Exports,1995,tonnes,0
Europe,Albania,Fresh Grapes,Exports,1995,tonnes,0
Europe,Albania,Dried Grapes,Imports,1995,tonnes,  60
Europe,Albania,Fresh Grapes,Imports,1995,tonnes, 3 200
Europe,Albania,Dried Grapes,Production,1995,tonnes,0
Europe,Albania,Fresh Grapes,Production,1995,tonnes, 55 500
Europe,Albania,Table Grapes,Production,1995,tonnes, 34 800
Europe,Albania,Dried Grapes,Consumption,1996,tonnes,  99
Europe,Albania,Table Grapes,Consumption,1996,tonnes, 31 155
Europe,Albania,Dried Grapes,Exports,1996,tonnes,0
Europe,Albania,Fresh Grapes,Exports,1996,tonnes,0
Europe,Albania,Dried Grapes,Imports,1996,tonnes,  99
Europe,Albania,Fresh Grapes,Imports,1996,tonnes, 7 506
Europe,Albania,Dried Grapes,Production,1996,tonnes,0
Europe,Albania,Fresh Grapes,Production,1996,tonnes, 59 100
Europe,Albania,Table Grapes,Production,1996,tonnes, 23 600
Europe,Albania,Dried Grapes,Consumption,1997,tonnes,  37
Europe,Albania,Table Grapes,Consumption,1997,tonnes, 49 212
Europe,Albania,Dried Grapes,Exports,1997,tonnes,0
Europe,Albania,Fresh Grapes,Exports,1997,tonnes,0
Europe,Albania,Dried Grapes,Imports,1997,tonnes,  37
Europe,Albania,Fresh Grapes,Imports,1997,tonnes, 2 546
Europe,Albania,Dried Grapes,Production,1997,tonnes,0
Europe,Albania,Fresh Grapes,Production,1997,tonnes, 67 500
Europe,Albania,Table Grapes,Production,1997,tonnes, 46 700
Europe,Albania,Dried Grapes,Consumption,1998,tonnes,  22
Europe,Albania,Table Grapes,Consumption,1998,tonnes, 57 972
Europe,Albania,Dried Grapes,Exports,1998,tonnes,0
Europe,Albania,Fresh Grapes,Exports,1998,tonnes,0
Europe,Albania,Dried Grapes,Imports,1998,tonnes,  22
Europe,Albania,Fresh Grapes,Imports,1998,tonnes, 2 857
Europe,Albania,Dried Grapes,Production,1998,tonnes,0
Europe,Albania,Fresh Grapes,Production,1998,tonnes, 68 300
Europe,Albania,Table Grapes,Production,1998,tonnes, 55 100
Europe,Albania,Dried Grapes,Consumption,1999,tonnes,  58
Europe,Albania,Table Grapes,Consumption,1999,tonnes, 58 175
Europe,Albania,Dried Grapes,Exports,1999,tonnes,0
Europe,Albania,Fresh Grapes,Exports,1999,tonnes,0
Europe,Albania,Dried Grapes,Imports,1999,tonnes,  58
Europe,Albania,Fresh Grapes,Imports,1999,tonnes, 4 019
Europe,Albania,Dried Grapes,Production,1999,tonnes,0
Europe,Albania,Fresh Grapes,Production,1999,tonnes, 70 400
Europe,Albania,Table Grapes,Production,1999,tonnes, 54 200
Europe,Albania,Dried Grapes,Consumption,2000,tonnes,  92
Europe,Albania,Table Grapes,Consumption,2000,tonnes, 75 407
Europe,Albania,Dried Grapes,Exports,2000,tonnes,0
Europe,Albania,Fresh Grapes,Exports,2000,tonnes,  12
Europe,Albania,Dried Grapes,Imports,2000,tonnes,  92
Europe,Albania,Fresh Grapes,Imports,2000,tonnes, 5 328
Europe,Albania,Dried Grapes,Production,2000,tonnes,0
Europe,Albania,Fresh Grapes,Production,2000,tonnes, 79 300
Europe,Albania,Table Grapes,Production,2000,tonnes, 70 079
Europe,Albania,Dried Grapes,Consumption,2001,tonnes,  56
Europe,Albania,Table Grapes,Consumption,2001,tonnes, 72 263
Europe,Albania,Dried Grapes,Exports,2001,tonnes,0
Europe,Albania,Fresh Grapes,Exports,2001,tonnes,0
Europe,Albania,Dried Grapes,Imports,2001,tonnes,  56
Europe,Albania,Fresh Grapes,Imports,2001,tonnes, 5 811
Europe,Albania,Dried Grapes,Production,2001,tonnes,0
Europe,Albania,Fresh Grapes,Production,2001,tonnes, 85 100
Europe,Albania,Table Grapes,Production,2001,tonnes, 66 452
Europe,Albania,Dried Grapes,Consumption,2002,tonnes,  64
Europe,Albania,Table Grapes,Consumption,2002,tonnes, 85 495
Europe,Albania,Dried Grapes,Exports,2002,tonnes,0
Europe,Albania,Fresh Grapes,Exports,2002,tonnes,  6
Europe,Albania,Dried Grapes,Imports,2002,tonnes,  64
Europe,Albania,Fresh Grapes,Imports,2002,tonnes, 7 923
Europe,Albania,Dried Grapes,Production,2002,tonnes,0
Europe,Albania,Fresh Grapes,Production,2002,tonnes, 83 100
Europe,Albania,Table Grapes,Production,2002,tonnes, 77 572
Europe,Albania,Dried Grapes,Consumption,2003,tonnes,  235
Europe,Albania,Table Grapes,Consumption,2003,tonnes, 100 971
Europe,Albania,Dried Grapes,Exports,2003,tonnes,0
Europe,Albania,Fresh Grapes,Exports,2003,tonnes,0
Europe,Albania,Dried Grapes,Imports,2003,tonnes,  235
Europe,Albania,Fresh Grapes,Imports,2003,tonnes, 6 852
Europe,Albania,Dried Grapes,Production,2003,tonnes,0
Europe,Albania,Fresh Grapes,Production,2003,tonnes, 105 500
Europe,Albania,Table Grapes,Production,2003,tonnes, 94 119
Europe,Albania,Dried Grapes,Consumption,2004,tonnes,  118
Europe,Albania,Table Grapes,Consumption,2004,tonnes, 102 015
Europe,Albania,Dried Grapes,Exports,2004,tonnes,0
Europe,Albania,Fresh Grapes,Exports,2004,tonnes,0
Europe,Albania,Dried Grapes,Imports,2004,tonnes,  118
Europe,Albania,Fresh Grapes,Imports,2004,tonnes, 14 550
Europe,Albania,Dried Grapes,Production,2004,tonnes,0
Europe,Albania,Fresh Grapes,Production,2004,tonnes, 97 100
Europe,Albania,Table Grapes,Production,2004,tonnes, 87 465
Europe,Albania,Dried Grapes,Consumption,2005,tonnes,  89
Europe,Albania,Table Grapes,Consumption,2005,tonnes, 114 282
Europe,Albania,Dried Grapes,Exports,2005,tonnes,0
Europe,Albania,Fresh Grapes,Exports,2005,tonnes,0
Europe,Albania,Dried Grapes,Imports,2005,tonnes,  89
Europe,Albania,Fresh Grapes,Imports,2005,tonnes, 14 900
Europe,Albania,Dried Grapes,Production,2005,tonnes,0
Europe,Albania,Fresh Grapes,Production,2005,tonnes, 115 100
Europe,Albania,Table Grapes,Production,2005,tonnes, 99 382
Europe,Albania,Dried Grapes,Consumption,2006,tonnes,  80
Europe,Albania,Table Grapes,Consumption,2006,tonnes, 119 266
Europe,Albania,Dried Grapes,Exports,2006,tonnes,  6
Europe,Albania,Fresh Grapes,Exports,2006,tonnes,  3
Europe,Albania,Dried Grapes,Imports,2006,tonnes,  86
Europe,Albania,Fresh Grapes,Imports,2006,tonnes, 10 900
Europe,Albania,Dried Grapes,Production,2006,tonnes,0
Europe,Albania,Fresh Grapes,Production,2006,tonnes, 127 800
Europe,Albania,Table Grapes,Production,2006,tonnes, 108 366
Europe,Albania,Dried Grapes,Consumption,2007,tonnes,  50
Europe,Albania,Table Grapes,Consumption,2007,tonnes, 127 959
Europe,Albania,Dried Grapes,Exports,2007,tonnes,0
Europe,Albania,Fresh Grapes,Exports,2007,tonnes,0
Europe,Albania,Dried Grapes,Imports,2007,tonnes,  50
Europe,Albania,Fresh Grapes,Imports,2007,tonnes, 6 675
Europe,Albania,Dried Grapes,Production,2007,tonnes,0
Europe,Albania,Fresh Grapes,Production,2007,tonnes, 146 500
Europe,Albania,Table Grapes,Production,2007,tonnes, 121 284
Europe,Albania,Dried Grapes,Consumption,2008,tonnes,  17
Europe,Albania,Table Grapes,Consumption,2008,tonnes, 133 950
Europe,Albania,Dried Grapes,Exports,2008,tonnes,  1
Europe,Albania,Fresh Grapes,Exports,2008,tonnes,0
Europe,Albania,Dried Grapes,Imports,2008,tonnes,  18
Europe,Albania,Fresh Grapes,Imports,2008,tonnes, 5 007
Europe,Albania,Dried Grapes,Production,2008,tonnes,0
Europe,Albania,Fresh Grapes,Production,2008,tonnes, 153 900
Europe,Albania,Table Grapes,Production,2008,tonnes, 128 943
Europe,Albania,Dried Grapes,Consumption,2009,tonnes,  43
Europe,Albania,Table Grapes,Consumption,2009,tonnes, 137 642
