Continent,Region/Country,Product,Variable,Year,Unit,Quantity
Global,Global,Dried Grapes,Consumption,1995,tonnes,1 026 663
Global,Global,Table Grapes,Consumption,1995,tonnes,11 762 566
Global,Global,Dried Grapes,Exports,1995,tonnes, 553 331
Global,Global,Fresh Grapes,Exports,1995,tonnes,1 916 752
Global,Global,Dried Grapes,Imports,1995,tonnes, 596 199
Global,Global,Fresh Grapes,Imports,1995,tonnes,1 847 719
Global,Global,Fresh Grapes,Production,1995,tonnes,55 417 268
Global,Global,Table Grapes,Production,1995,tonnes,11 884 137
Global,Global,Dried Grapes,Consumption,1996,tonnes,1 054 783
Global,Global,Table Grapes,Consumption,1996,tonnes,12 885 048
Global,Global,Dried Grapes,Exports,1996,tonnes, 561 665
Global,Global,Fresh Grapes,Exports,1996,tonnes,2 114 578
Global,Global,Dried Grapes,Imports,1996,tonnes, 598 588
Global,Global,Fresh Grapes,Imports,1996,tonnes,2 114 008
Global,Global,Dried Grapes,Production,1996,tonnes,1 101 818
Global,Global,Fresh Grapes,Production,1996,tonnes,58 709 426
Global,Global,Table Grapes,Production,1996,tonnes,12 901 707
Global,Global,Dried Grapes,Consumption,1997,tonnes,1 116 968
Global,Global,Table Grapes,Consumption,1997,tonnes,12 738 063
Global,Global,Dried Grapes,Exports,1997,tonnes, 567 986
Global,Global,Fresh Grapes,Exports,1997,tonnes,2 344 600
Global,Global,Dried Grapes,Imports,1997,tonnes, 604 407
Global,Global,Fresh Grapes,Imports,1997,tonnes,2 161 420
Global,Global,Dried Grapes,Production,1997,tonnes,1 221 953
Global,Global,Fresh Grapes,Production,1997,tonnes,58 054 114
Global,Global,Table Grapes,Production,1997,tonnes,13 070 769
Global,Global,Dried Grapes,Consumption,1998,tonnes,1 085 005
Global,Global,Table Grapes,Consumption,1998,tonnes,12 725 897
Global,Global,Dried Grapes,Exports,1998,tonnes, 603 138
Global,Global,Fresh Grapes,Exports,1998,tonnes,2 288 369
Global,Global,Dried Grapes,Imports,1998,tonnes, 607 210
Global,Global,Fresh Grapes,Imports,1998,tonnes,2 201 440
Global,Global,Dried Grapes,Production,1998,tonnes,1 079 933
Global,Global,Fresh Grapes,Production,1998,tonnes,56 666 111
Global,Global,Table Grapes,Production,1998,tonnes,12 889 077
Global,Global,Dried Grapes,Consumption,1999,tonnes,1 064 051
Global,Global,Table Grapes,Consumption,1999,tonnes,13 375 561
Global,Global,Dried Grapes,Exports,1999,tonnes, 591 990
Global,Global,Fresh Grapes,Exports,1999,tonnes,2 422 237
Global,Global,Dried Grapes,Imports,1999,tonnes, 622 684
Global,Global,Fresh Grapes,Imports,1999,tonnes,2 330 594
Global,Global,Dried Grapes,Production,1999,tonnes,1 141 162
Global,Global,Fresh Grapes,Production,1999,tonnes,59 974 976
Global,Global,Table Grapes,Production,1999,tonnes,13 503 802
Global,Global,Dried Grapes,Consumption,2000,tonnes,1 407 168
Global,Global,Table Grapes,Consumption,2000,tonnes,14 842 119
Global,Global,Dried Grapes,Exports,2000,tonnes, 608 486
Global,Global,Fresh Grapes,Exports,2000,tonnes,2 795 068
Global,Global,Dried Grapes,Imports,2000,tonnes, 636 516
Global,Global,Fresh Grapes,Imports,2000,tonnes,2 662 830
Global,Global,Dried Grapes,Production,2000,tonnes,1 405 508
Global,Global,Fresh Grapes,Production,2000,tonnes,64 076 587
Global,Global,Table Grapes,Production,2000,tonnes,15 241 739
Global,Global,Dried Grapes,Consumption,2001,tonnes,1 305 802
