Continent,Region/Country,Product,Variable,Year,Unit,Quantity
Oceania,Australia,Dried Grapes,Consumption,1995,tonnes, 22 897
Oceania,Australia,Table Grapes,Consumption,1995,tonnes, 24 921
Oceania,Australia,Dried Grapes,Exports,1995,tonnes, 15 500
Oceania,Australia,Fresh Grapes,Exports,1995,tonnes, 14 546
Oceania,Australia,Dried Grapes,Imports,1995,tonnes, 6 500
Oceania,Australia,Fresh Grapes,Imports,1995,tonnes,  10
Oceania,Australia,Dried Grapes,Production,1995,tonnes, 32 700
Oceania,Australia,Fresh Grapes,Production,1995,tonnes, 768 800
Oceania,Australia,Table Grapes,Production,1995,tonnes, 39 500
Oceania,Australia,Dried Grapes,Consumption,1996,tonnes, 29 512
Oceania,Australia,Table Grapes,Consumption,1996,tonnes, 30 677
Oceania,Australia,Dried Grapes,Exports,1996,tonnes, 23 375
Oceania,Australia,Fresh Grapes,Exports,1996,tonnes, 22 809
Oceania,Australia,Dried Grapes,Imports,1996,tonnes, 9 570
Oceania,Australia,Fresh Grapes,Imports,1996,tonnes,0
Oceania,Australia,Dried Grapes,Production,1996,tonnes, 54 600
Oceania,Australia,Fresh Grapes,Production,1996,tonnes,1 086 321
Oceania,Australia,Table Grapes,Production,1996,tonnes, 53 500
Oceania,Australia,Dried Grapes,Consumption,1997,tonnes, 32 915
Oceania,Australia,Table Grapes,Consumption,1997,tonnes, 32 369
Oceania,Australia,Dried Grapes,Exports,1997,tonnes, 17 949
Oceania,Australia,Fresh Grapes,Exports,1997,tonnes, 28 377
Oceania,Australia,Dried Grapes,Imports,1997,tonnes, 12 000
Oceania,Australia,Fresh Grapes,Imports,1997,tonnes,  50
Oceania,Australia,Dried Grapes,Production,1997,tonnes, 29 900
Oceania,Australia,Fresh Grapes,Production,1997,tonnes, 943 113
Oceania,Australia,Table Grapes,Production,1997,tonnes, 60 700
Oceania,Australia,Dried Grapes,Consumption,1998,tonnes, 34 819
Oceania,Australia,Table Grapes,Consumption,1998,tonnes, 33 998
Oceania,Australia,Dried Grapes,Exports,1998,tonnes, 14 769
Oceania,Australia,Fresh Grapes,Exports,1998,tonnes, 28 685
Oceania,Australia,Dried Grapes,Imports,1998,tonnes, 12 237
Oceania,Australia,Fresh Grapes,Imports,1998,tonnes,  10
Oceania,Australia,Dried Grapes,Production,1998,tonnes, 38 600
Oceania,Australia,Fresh Grapes,Production,1998,tonnes,1 112 170
Oceania,Australia,Table Grapes,Production,1998,tonnes, 62 700
Oceania,Australia,Dried Grapes,Consumption,1999,tonnes, 34 299
Oceania,Australia,Table Grapes,Consumption,1999,tonnes, 33 984
Oceania,Australia,Dried Grapes,Exports,1999,tonnes, 7 797
Oceania,Australia,Fresh Grapes,Exports,1999,tonnes, 31 908
Oceania,Australia,Dried Grapes,Imports,1999,tonnes, 16 900
Oceania,Australia,Fresh Grapes,Imports,1999,tonnes,  1
Oceania,Australia,Dried Grapes,Production,1999,tonnes, 26 100
Oceania,Australia,Fresh Grapes,Production,1999,tonnes,1 265 536
Oceania,Australia,Table Grapes,Production,1999,tonnes, 65 900
Oceania,Australia,Dried Grapes,Consumption,2000,tonnes, 41 148
Oceania,Australia,Table Grapes,Consumption,2000,tonnes, 33 772
Oceania,Australia,Dried Grapes,Exports,2000,tonnes, 4 929
Oceania,Australia,Fresh Grapes,Exports,2000,tonnes, 33 028
Oceania,Australia,Dried Grapes,Imports,2000,tonnes, 17 077
Oceania,Australia,Fresh Grapes,Imports,2000,tonnes,0
Oceania,Australia,Dried Grapes,Production,2000,tonnes, 29 000
Oceania,Australia,Fresh Grapes,Production,2000,tonnes,1 311 400
Oceania,Australia,Table Grapes,Production,2000,tonnes, 66 800
Oceania,Australia,Dried Grapes,Consumption,2001,tonnes, 30 675
Oceania,Australia,Table Grapes,Consumption,2001,tonnes, 33 930
Oceania,Australia,Dried Grapes,Exports,2001,tonnes, 6 433
Oceania,Australia,Fresh Grapes,Exports,2001,tonnes, 30 770
Oceania,Australia,Dried Grapes,Imports,2001,tonnes, 16 908
Oceania,Australia,Fresh Grapes,Imports,2001,tonnes,0
Oceania,Australia,Dried Grapes,Production,2001,tonnes, 20 200
Oceania,Australia,Fresh Grapes,Production,2001,tonnes,1 546 000
Oceania,Australia,Table Grapes,Production,2001,tonnes, 64 700
Oceania,Australia,Dried Grapes,Consumption,2002,tonnes, 49 090
Oceania,Australia,Table Grapes,Consumption,2002,tonnes, 30 885
Oceania,Australia,Dried Grapes,Exports,2002,tonnes, 5 860
Oceania,Australia,Fresh Grapes,Exports,2002,tonnes, 56 630
Oceania,Australia,Dried Grapes,Imports,2002,tonnes, 21 050
Oceania,Australia,Fresh Grapes,Imports,2002,tonnes, 1 015
Oceania,Australia,Dried Grapes,Production,2002,tonnes, 33 900
Oceania,Australia,Fresh Grapes,Production,2002,tonnes,1 753 900
Oceania,Australia,Table Grapes,Production,2002,tonnes, 86 500
Oceania,Australia,Dried Grapes,Consumption,2003,tonnes, 29 883
Oceania,Australia,Table Grapes,Consumption,2003,tonnes, 36 330
Oceania,Australia,Dried Grapes,Exports,2003,tonnes, 9 660
Oceania,Australia,Fresh Grapes,Exports,2003,tonnes, 39 920
Oceania,Australia,Dried Grapes,Imports,2003,tonnes, 19 081
Oceania,Australia,Fresh Grapes,Imports,2003,tonnes, 1 150
Oceania,Australia,Dried Grapes,Production,2003,tonnes, 20 462
Oceania,Australia,Fresh Grapes,Production,2003,tonnes,1 469 940
Oceania,Australia,Table Grapes,Production,2003,tonnes, 75 100
Oceania,Australia,Dried Grapes,Consumption,2004,tonnes, 48 237
Oceania,Australia,Table Grapes,Consumption,2004,tonnes, 28 280
